logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,AD2 flag,Speed Units,Tunnel,Bridge,Build-up Area,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Effective Speed Limit,Effective Speed Limit Type,Number of Lanes in driving direction
26341,1970-01-02 09:00:02.186118,10.129000000000001,8,2.186117,10.128,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
27135,1970-01-02 09:00:02.235775,49.657,8,2.235775,49.658,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
27262,1970-01-02 09:00:02.245375,9.6,8,2.245375,9.6,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
28002,1970-01-02 09:00:02.285994,40.619,8,2.285994,40.619,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
28181,1970-01-02 09:00:02.295154,9.16,8,2.295153,9.159,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
28942,1970-01-02 09:00:02.345804,50.65,8,2.345804,50.651,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
29075,1970-01-02 09:00:02.354432,8.628,8,2.354432,8.628,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
29847,1970-01-02 09:00:02.396222,41.79,8,2.396221,41.789,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
29971,1970-01-02 09:00:02.404406,8.184000000000001,8,2.404405,8.184,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
31019,1970-01-02 09:00:02.466510,62.104,8,2.46651,62.105,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
31186,1970-01-02 09:00:02.473808,7.298,8,2.473807,7.297,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
31929,1970-01-02 09:00:02.515882,42.074,8,2.515881,42.074,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
32040,1970-01-02 09:00:02.523007,7.125,8,2.523007,7.126,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
32682,1970-01-02 09:00:02.566622,43.615,8,2.566622,43.615,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
32827,1970-01-02 09:00:02.573301,6.679,8,2.5733,6.678,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
33551,1970-01-02 09:00:02.616414,43.113,8,2.616413,43.113,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
33657,1970-01-02 09:00:02.622652,6.2379999999999995,8,2.622652,6.239,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
