2025-09-29 18:33:13,392,packetAnalyzer ,ERROR   ,<Size Error> logIndex:216408, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,392,packetAnalyzer ,ERROR   ,<Size Error> logIndex:216409, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,395,packetAnalyzer ,ERROR   ,<Size Error> logIndex:216412, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,395,packetAnalyzer ,ERROR   ,<Size Error> logIndex:218425, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,395,packetAnalyzer ,ERROR   ,<Size Error> logIndex:218432, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,397,packetAnalyzer ,ERROR   ,<Size Error> logIndex:218552, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,398,packetAnalyzer ,ERROR   ,<Size Error> logIndex:236872, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,398,packetAnalyzer ,ERROR   ,<Size Error> logIndex:236877, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,401,packetAnalyzer ,ERROR   ,<Size Error> logIndex:236882, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,401,packetAnalyzer ,ERROR   ,<Size Error> logIndex:238961, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,401,packetAnalyzer ,ERROR   ,<Size Error> logIndex:238962, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,404,packetAnalyzer ,ERROR   ,<Size Error> logIndex:238964, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,405,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267686, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,405,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267810, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,405,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267815, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
